Id,topic,Label,tt_prime,tt_raw,coherence,prevalence,ST_Topic
t.34,t.34,program,"abrogating, arranging, appraise, mindful, effectuating, suburban, confronting, aiding, stimulating, detailing","agency, department, program, government, activity, head, policy, responsibility, sec, development",0.26,2.270475982,FALSE
t.4,t.4,price,"ceiling, stabilize, freeze, rent, stabilization, specify, price, wage, inflation, dividend","price, stabilization, economy, wage, cost, salary, increase, litigation, adjustment, living",0.2,0.643198256,FALSE
t.58,t.58,policy,"unitary, topic, fiscally, augment, align, reforming, implemented, equity, governance, enforceable","agency, department, sec, officer, consistent, intended, employee, head, policy, function",0.24,1.98479104,FALSE
t.37,t.37,person,"sanctioned, depository, issuer, dealer, algier, maturity, brokering, obligor, debt, banking","financial, iran, person, bank, credit, foreign, subsection, dotr, acquisition, payment",0.28,0.634282102,FALSE
t.48,t.48,person,"blocked, evading, burma, syria, unpa, ineffectual, instantaneously, reexportation, syrian, repression","person, property, sec, government, pursuant, national, emergency, entity, dotr, agency",0.15,2.036547558,FALSE
t.49,t.49,panel,"nominating, nominee, circuit, fellow, intern, voter, nominated, internship, evidenced, residing","member, term, panel, person, presidential, appointed, year, serve, transition, vacancy",0.14,0.689274672,FALSE
t.77,t.77,organization,"abridge, enjoy, immunity, enjoyed, coffee, jeopardize, immune, euratom, preparatory, prejudicial","international, organization, immunity, public, privilege, exemption, entitled, enjoy, treaty, respect",0.26,2.172329521,FALSE
t.10,t.10,officer,"brigadier, presiding, totally, surgeon, specialty, aggravated, junior, presumption, candidate, roll","officer, corp, service, grade, board, general, promotion, sec, examination, sect",0.12,0.825875639,FALSE
t.17,t.17,office,"ronaldreagan, jimmycarter, filed, cuban, register, desert, deadline, renamed, georgewbush, typographical","office, register, america, filed, constitution, note, code, title, december, ronaldreagan",0.22,3.942659774,FALSE
t.52,t.52,office,"solicitor, resignation, sickness, depart, descending, resigned, succession, occupant, died, ambassador","secretary, assistant, office, deputy, director, officer, general, doc, duty, perform",0.21,1.590058405,FALSE
t.69,t.69,member,"intermittently, holocaust, devote, diem, demographic, reimbursable, broadly, faca, practitioner, disparity","member, service, advisory, function, committee, report, sec, compensation, general, extent",0.2,2.685077948,FALSE
t.16,t.16,medal,"posthumously, persian, expeditionary, posthumous, suitably, heart, badge, medal, ribbon, meritorious","service, medal, award, armed, force, awarded, regulation, dod, member, person",0.25,1.35414308,FALSE
t.42,t.42,line,"longitude, lat, navigate, latitude, strip, intersection, angle, pile, crossing, stone","deg, line, north, south, east, west, point, land, monument, boundary",0.5,0.639452056,FALSE
t.66,t.66,line,"contour, tva, elevation, nantahala, datum, marker, leaving, approximate, width, foot","feet, line, land, point, boundary, contour, approximately, foot, tva, marker",0.23,0.322886291,FALSE
t.1,t.1,land,"azimuth, chord, triangulation, clockwise, honolulu, oahu, ceded, waianae, hilo, punchbowl","feet, deg, land, hawaii, military, territory, reservation, beginning, azimuth, point",0.39,1.241388941,FALSE
t.13,t.13,judge,"rape, wanton, wrongful, reckless, aggravating, bodily, discredit, murder, assault, gram","subsection, child, judge, paragraph, accused, person, amendment, article, conduct, death",0.23,0.252480935,FALSE
t.41,t.41,island,"ryukyu, rico, puerto, guam, interment, columbia, enact, commonwealth, virgin, alley","district, island, columbia, territory, puerto, area, rico, government, commissioner, high",0.28,1.79657553,FALSE
t.80,t.80,intelligence,"counterintelligence, nsc, fbi, intelligence, propriety, gathered, architecture, translate, proprietary, acknowledged","intelligence, activity, foreign, national, director, agency, information, community, security, central",0.25,0.624690369,FALSE
t.65,t.65,inspection,"taxable, tax, revenue, gift, estate, inspection, income, profit, eighty, return","inspection, tax, return, internal, revenue, stat, committee, code, income, congress",0.41,2.754932447,FALSE
t.67,t.67,inserting,"comma, inserting, striking, redesignating, relettering, semicolon, delete, phrase, insert, word","inserting, thereof, lieu, striking, word, subsection, deleting, paragraph, read, sec",0.2,1.959273436,FALSE
t.6,t.6,information,"declassified, downgrading, downgraded, requester, downgrade, originator, declassifying, embarrassment, declassification, reproduced","information, agency, classified, classification, security, access, national, material, declassification, head",0.18,0.575381372,FALSE
t.40,t.40,information,"biennially, efficacy, website, metric, streamlined, methodology, format, timetable, accessibility, update","agency, report, plan, program, review, information, ensure, sec, omb, head",0.3,1.921268501,FALSE
t.79,t.79,information,"interoperable, homeland, infrastructure, counterterrorism, steering, network, dhs, terrorist, sharing, prioritizing","security, national, information, infrastructure, dhs, agency, critical, homeland, department, computing",0.28,0.792006118,FALSE
t.50,t.50,health,"hiv, communicable, epidemic, clinic, plague, smallpox, retardation, infection, countermeasure, fever","health, service, safety, care, welfare, medical, secretary, education, public, hhs",0.11,0.837674467,FALSE
t.14,t.14,function,"unexpended, abolition, winding, surplus, liquidation, reassigned, wind, transferred, balance, reconversion","function, transferred, director, office, administrator, transfer, administration, property, war, record",0.11,2.188183501,FALSE
t.36,t.36,function,"idca, nicaraguan, mutual, antiterrorism, waiving, isdca, disregarded, allocated, lettered, translating","function, agency, foreign, delegated, director, sec, development, conferred, assistance, international",0.19,2.188786886,FALSE
t.11,t.11,frac,"bankhead, jone, exterior, grazing, frac, meridian, tenant, ouachita, forest, fractional","sec, frac, inclusive, land, forest, national, part, lot, stat, lying",0.19,0.676847506,FALSE
t.63,t.63,foreign,"montenegro, soviet, socialist, france, axi, ireland, quadripartite, australia, luxembourg, yugoslavia","foreign, republic, allowance, government, member, purpose, service, country, yugoslavia, post",0.11,1.003334831,FALSE
t.8,t.8,export,"uranium, propulsion, weapon, decontrol, crude, enriched, disarmament, mass, reactor, renewal","control, nuclear, export, weapon, doe, chemical, arm, pursuant, foreign, energy",0.13,0.912585752,FALSE
t.74,t.74,environment,"recycling, preferable, recycled, reuse, recovered, pollutant, generated, waste, landfill, environment","environment, agency, product, procurement, facility, epa, sec, waste, material, chemical",0.15,0.421046934,FALSE
t.76,t.76,energy,"greenhouse, renewable, solar, biomass, geothermal, fueled, electricity, intensity, vehicle, emission","energy, agency, vehicle, fuel, facility, cost, gas, doe, building, sec",0.22,0.501957853,FALSE
t.24,t.24,employee,"loyalty, derogatory, ethic, treason, folder, investigative, overthrow, appointee, unwarranted, allegation","employee, agency, government, person, investigation, employment, head, department, service, appointee",0.15,0.807032213,FALSE
t.32,t.32,employee,"coerce, arbitrator, grievance, reprisal, freely, arbitration, raising, purely, conciliation, negotiated","employee, organization, labor, agency, management, relation, representative, agreement, policy, service",0.12,0.568657453,FALSE
t.44,t.44,employee,"holiday, workweek, workday, christma, excusing, night, excused, liberal, falling, monday","employee, day, agency, leave, department, compensation, december, government, duty, establishment",0.14,1.297870067,FALSE
t.28,t.28,emergency,"rebuilding, hurricane, electromagnetic, coupon, disaster, stafford, alert, telecommunication, fema, spectrum","emergency, director, communication, telecommunication, disaster, function, agency, management, national, government",0.2,0.658860359,FALSE
t.60,t.60,emergency,"claimancy, fallout, deconcentration, survival, shelter, dispersal, poultry, evacuation, continuity, attack","emergency, plan, program, national, develop, facility, function, agency, resource, preparedness",0.19,0.79985404,FALSE
t.64,t.64,effect,"iraqi, leone, liberia, boycott, destined, journalistic, haiti, sierra, illegally, exportation","regulation, effect, nation, emergency, action, national, issued, license, export, sec",0.2,1.507311536,FALSE
t.18,t.18,education,"hispanic, islander, elementary, childhood, philanthropic, postsecondary, excellence, historically, faculty, university","education, university, american, school, program, doed, initiative, student, agency, secretary",0.19,0.736547554,FALSE
t.5,t.5,duty,"aerial, ashore, messing, submarine, ration, meal, competent, fraction, ratio, unavailability","duty, member, pay, period, flight, regulation, month, quarter, entitled, required",0.13,1.059982169,FALSE
t.29,t.29,drug,"task, juvenile, trafficking, drug, theft, illegal, shortage, narcotic, crime, prosecute","force, task, drug, enforcement, policy, doj, national, office, control, crime",0.25,0.708841383,FALSE
t.75,t.75,dod,"adjutant, declaring, vacating, equip, logistic, succeed, precedence, sate, squadron, command","dod, force, military, chief, air, navy, army, naval, commander, service",0.19,1.43066147,FALSE
t.55,t.55,dispute,"pecuniarily, rla, trainmen, enginemen, conductor, commuter, yardmaster, brakemen, switchmen, interrupt","board, dispute, labor, employee, railway, report, carrier, investigate, day, member",0.41,4.607841562,FALSE
t.70,t.70,dispute,"stevedore, carpenter, lockout, imperil, inquire, bituminous, longshoremen, cio, strike, ind","board, labor, dispute, creating, emergency, investigate, industry, railroad, report, affecting",0.4,1.003352597,FALSE
t.30,t.30,delegated,"deepwater, onshore, noise, abatement, offshore, pollution, spill, shoreline, effluent, allen","administrator, subsection, delegated, facility, pollution, water, function, agency, head, control",0.19,0.589772484,FALSE
t.35,t.35,defense,"intercoastal, wool, fat, flax, starche, vendible, synthetic, vegetable, factory, subsidy","defense, production, material, agency, function, mobilization, delegated, national, respect, sec",0.18,1.033208488,FALSE
t.68,t.68,decision,"disagree, encountered, copying, disapproval, cite, particularity, precedent, indication, equally, notify","time, request, review, determination, procedure, information, made, provided, decision, required",0.27,1.201580103,FALSE
t.62,t.62,court,"introduce, argument, innocence, pleading, interlocutory, plea, dismiss, interpreter, alleging, ascertained","court, counsel, trial, accused, martial, officer, charge, case, offense, member",0.35,0.259595914,FALSE
t.45,t.45,convention,"detained, torture, geneva, degrading, orientation, interrogation, undocumented, convention, protocol, suitability","convention, access, individual, eligibility, determination, security, national, agent, industrial, special",0.18,0.476669025,FALSE
t.25,t.25,contract,"payroll, bid, bond, fee, surety, withholding, withheld, franchise, bidding, advertised","contract, agency, agreement, claim, fee, payment, service, term, amount, pursuant",0.14,0.737465224,FALSE
t.51,t.51,contract,"debarred, apprenticeship, persuasion, severability, nondiscrimination, affirmatively, obligating, subcontractor, debarment, absolutely","contract, contractor, agency, employment, regulation, contracting, secretary, government, sec, dol",0.18,0.907403123,FALSE
t.20,t.20,company,"needful, mesne, swift, recital, impeded, refining, interruption, towing, sinking, plant","facility, plant, war, operation, transportation, located, possession, york, system, company",0.13,0.956400481,FALSE
t.31,t.31,community,"stakeholder, resilience, ofbci, resilient, empowerment, web, lesson, prosperity, engagement, millennium","community, group, working, support, chair, organization, economy, based, government, development",0.29,1.240755835,FALSE
t.22,t.22,chairman,"council, composing, consumer, promotional, deliberation, nutrition, forum, cochairmen, chairperson, governmentwide","council, policy, chairman, economy, director, function, member, secretary, established, consumer",0.26,1.674783867,FALSE
t.59,t.59,canal,"waterfront, tonnage, panama, canal, credential, alcoholic, fined, zone, sabotage, commandant","canal, vessel, zone, panama, governor, facility, person, regulation, port, relating",0.19,0.946907452,FALSE
t.2,t.2,business,"subcontracting, vocational, handicapped, women, disadvantaged, toll, fare, small, minority, aspiration","business, veteran, small, disability, employment, women, administration, administrator, enterprise, affair",0.09,0.653530961,FALSE
t.43,t.43,basin,"concurred, basin, rendition, commission, rainy, hunger, bipartisan, broadcasting, drainage, hear","commission, chairman, member, sec, basin, river, report, resource, authorized, public",0.22,1.484122423,FALSE
t.26,t.26,article,"tsus, gsp, generalized, lddc, subdivide, staged, nomenclature, headnote, preferential, imported","article, annex, country, sec, item, tsus, made, iii, beneficiary, eligible",0.12,0.924261345,FALSE
t.23,t.23,advisory,"humanity, endowment, gallery, art, committee, counsellor, chairmen, digital, reestablishing, television","committee, board, advisory, member, chairman, sec, established, national, time, establishing",0.19,2.442669197,FALSE
t.27,t.27,accused,"nonjudicial, rehearing, unexecuted, servicemember, amounting, confinement, carnal, bad, adjudged, parole","punishment, martial, court, accused, sentence, military, confinement, article, offense, manual",0.48,0.707929083,FALSE
